collectTime,metrisValue
2020/3/17 2:31,3077
2020/3/17 2:41,2996
2020/3/17 2:51,2975
2020/3/17 3:01,2933
2020/3/17 3:11,3119
2020/3/17 3:21,3056
2020/3/17 3:31,2910
2020/3/17 3:41,2749
2020/3/17 3:51,2839
2020/3/17 4:01,2713
2020/3/17 4:11,2806
2020/3/17 4:21,2580
2020/3/17 4:31,2510
2020/3/17 4:41,2563
2020/3/17 4:51,2559
2020/3/17 5:01,2545
2020/3/17 5:11,2611
2020/3/17 5:21,2516
2020/3/17 5:31,2375
2020/3/17 5:41,2459
2020/3/17 5:51,2485
2020/3/17 6:01,2538
2020/3/17 6:11,2549
2020/3/17 6:21,2476
2020/3/17 6:31,2306
2020/3/17 6:41,2367
2020/3/17 6:51,2497
2020/3/17 7:01,2288
2020/3/17 7:11,2281
2020/3/17 7:21,2365
2020/3/17 7:31,2288
2020/3/17 7:41,2303
2020/3/17 7:51,2297
2020/3/17 8:01,2251
2020/3/17 8:11,2259
2020/3/17 8:21,2190
2020/3/17 8:31,2142
2020/3/17 8:41,2685
2020/3/17 8:51,2572
2020/3/17 9:01,2222
2020/3/17 9:11,2357
2020/3/17 9:21,2412
2020/3/17 9:31,2031
2020/3/17 9:41,2202
2020/3/17 9:51,2149
2020/3/17 10:01,2062
2020/3/17 10:11,1864
2020/3/17 10:21,1887
2020/3/17 10:31,1771
2020/3/17 10:41,1809
2020/3/17 10:51,1824
2020/3/17 11:01,1936
2020/3/17 11:11,1906
2020/3/17 11:21,1850
2020/3/17 11:31,1815
2020/3/17 11:41,1855
2020/3/17 11:51,1910
2020/3/17 12:01,1903
2020/3/17 12:11,1822
2020/3/17 12:21,1783
2020/3/17 12:31,1772
2020/3/17 12:41,1738
2020/3/17 12:51,1717
2020/3/17 13:01,1602
2020/3/17 13:11,1607
2020/3/17 13:21,1553
2020/3/17 13:31,1485
2020/3/17 13:41,1433
2020/3/17 13:51,1349
2020/3/17 14:01,1403
2020/3/17 14:11,1302
2020/3/17 14:21,1249
2020/3/17 14:31,1162
2020/3/17 14:41,1138
2020/3/17 14:51,1009
2020/3/17 15:01,976
2020/3/17 15:11,921
2020/3/17 15:21,842
2020/3/17 15:31,744
2020/3/17 15:41,706
2020/3/17 15:51,658
2020/3/17 16:01,573
2020/3/17 16:11,684
2020/3/17 16:21,693
2020/3/17 16:31,626
2020/3/17 16:41,564
2020/3/17 16:51,552
2020/3/17 17:01,458
2020/3/17 17:11,429
2020/3/17 17:21,372
2020/3/17 17:31,294
2020/3/17 17:41,262
2020/3/17 17:51,239
2020/3/17 18:01,235
2020/3/17 18:11,232
2020/3/17 18:21,176
2020/3/17 18:31,168
2020/3/17 18:41,185
2020/3/17 18:51,147
2020/3/17 19:01,145
2020/3/17 19:11,123
2020/3/17 19:21,123
2020/3/17 19:31,108
2020/3/17 19:41,111
2020/3/17 19:51,95
2020/3/17 20:01,104
2020/3/17 20:11,96
2020/3/17 20:21,113
2020/3/17 20:31,112
2020/3/17 20:41,116
2020/3/17 20:51,122
2020/3/17 21:01,116
2020/3/17 21:11,125
2020/3/17 21:21,134
2020/3/17 21:31,176
2020/3/17 21:41,187
2020/3/17 21:51,213
2020/3/17 22:01,226
2020/3/17 22:11,304
2020/3/17 22:21,343
2020/3/17 22:31,416
2020/3/17 22:41,511
2020/3/17 22:51,601
2020/3/17 23:01,759
